time,latitude,longitude,enu_x,enu_y,speed,course,ecg,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY,motion
603540,36.01325683333334,129.31924783333335,58.40126484920495,95.0737683101246,1.3,58.0,,4.4921875,-9.12890625,0.53125,-0.01171875,0.33984375,-0.248046875,-0.72265625,-9.34765625,1.42578125,2.0
603541,,,,,,,,8.84375,-8.00390625,4.13671875,-0.927734375,-0.2265625,-0.162109375,9.2734375,-17.50390625,5.79296875,2.0
603542,,,,,,,,10.36328125,-6.921875,5.75390625,-0.974609375,-0.3671875,-0.130859375,10.80859375,-16.4296875,7.36328125,2.0
603543,,,,,,,,6.515625,-2.546875,4.66796875,-1.10546875,-0.853515625,-0.083984375,6.9765625,-12.0625,6.17578125,2.0
603544,,,,,,,,0.125,-2.05859375,4.109375,-1.123046875,-1.45703125,-0.0546875,0.6171875,-11.60546875,5.4453125,2.0
603545,,,,,,,,-1.23828125,-1.62109375,2.49609375,-1.041015625,-1.333984375,-0.068359375,-0.72265625,-11.18359375,3.72265625,2.0
603546,,,,,,,,-0.6328125,-1.45703125,1.125,-0.904296875,-0.927734375,-0.03515625,-0.109375,-11.02734375,2.3046875,2.0
603547,,,,,,,,0.484375,0.33984375,1.37109375,0.763671875,1.078125,-0.361328125,1.0390625,-9.2265625,2.57421875,2.0
603548,,,,,,,,-0.17578125,0.25,0.04296875,0.544921875,0.0625,-0.423828125,0.42578125,-9.30859375,1.34765625,2.0
603549,,,,,,,,-0.23046875,0.1328125,0.05859375,0.35546875,-0.24609375,-0.353515625,0.38671875,-9.421875,1.38671875,2.0
603550,36.013256999999996,129.31924916666668,58.52146285249242,95.0922623173852,1.3,63.0,,-0.10546875,-0.44140625,0.41796875,-0.01171875,0.33984375,-0.248046875,0.54296875,-9.99609375,1.76953125,2.0
603551,,,,,,,,-0.19921875,-0.5234375,0.59375,0.189453125,0.0390625,-0.068359375,0.46484375,-10.0703125,1.9609375,2.0
603552,,,,,,,,-0.3515625,-0.37109375,0.6171875,0.236328125,0.259765625,-0.017578125,0.3125,-9.91796875,2.0,2.0
603553,,,,,,,,-0.59765625,0.31640625,0.30859375,0.080078125,0.5703125,0.185546875,0.04296875,-9.23046875,1.73046875,2.0
603554,,,,,,,,-0.62109375,1.0078125,-0.11328125,-0.0703125,0.57421875,0.263671875,0.00390625,-8.5390625,1.30859375,2.0
603555,,,,,,,,-0.4296875,1.58984375,-0.40234375,-0.267578125,0.537109375,0.353515625,0.15625,-7.96484375,1.00390625,2.0
